id_logement,annee_logement,surface_habitable,nb_murs_deperditifs,nb_fenetres_logement
logement-0,2006,63,4,7
logement-1,1979,122,3,14
logement-2,2010,114,3,13
logement-3,1974,138,3,13
logement-4,1968,95,3,12
logement-5,1962,102,4,9
logement-6,1916,108,2,13
logement-7,1958,28,4,5
logement-8,1997,80,4,8
logement-9,1982,31,4,2
logement-10,1926,80,3,9
logement-11,1982,50,3,6
logement-12,1955,115,2,11
logement-13,1914,37,3,6
logement-14,1937,90,4,8
logement-15,2004,82,4,9
logement-16,1946,27,3,2
logement-17,1922,33,2,3
logement-18,1958,137,2,13
logement-19,2020,50,2,5
logement-20,2010,78,2,8
logement-21,2016,134,3,14
logement-22,1914,137,3,13
logement-23,1997,123,4,12
logement-24,1943,108,4,11
logement-25,1936,122,4,13
logement-26,1956,137,4,16
logement-27,2007,93,4,10
logement-28,1990,98,3,12
logement-29,1995,50,3,5
logement-30,1970,47,3,4
logement-31,1920,36,2,4
logement-32,2000,118,3,12
logement-33,2017,39,4,4
logement-34,1998,94,2,9
logement-35,1947,116,2,13
logement-36,1913,106,4,13
logement-37,2001,71,3,7
logement-38,1931,28,4,4
logement-39,1991,24,4,3
logement-40,1915,95,4,11
logement-41,1966,21,3,1
logement-42,1956,133,2,12
logement-43,1933,24,4,1
logement-44,1949,108,2,10
logement-45,1936,125,2,13
logement-46,1917,118,3,13
logement-47,1948,110,4,11
logement-48,1918,91,4,9
logement-49,1977,77,4,10
logement-50,1989,70,3,6
logement-51,1950,99,4,9
logement-52,1922,125,4,13
logement-53,1963,86,2,10
logement-54,1925,80,3,10
logement-55,1954,43,4,5
logement-56,1916,126,2,15
logement-57,1911,53,4,5
logement-58,2001,114,2,11
logement-59,1971,65,2,7
logement-60,1915,38,2,5
logement-61,1926,58,3,7
logement-62,2012,42,4,3
logement-63,1952,90,2,10
logement-64,1946,106,2,10
logement-65,1993,105,4,11
logement-66,1940,102,4,11
logement-67,1959,111,2,10
logement-68,1952,90,4,11
logement-69,1949,64,2,7
logement-70,1993,130,4,13
logement-71,1964,39,4,3
logement-72,2020,109,2,13
logement-73,1996,80,4,9
logement-74,2011,101,3,9
logement-75,1950,54,3,6
logement-76,1981,126,4,14
logement-77,1979,47,4,6
logement-78,2017,90,2,8
logement-79,1954,113,4,13
logement-80,1965,22,4,2
logement-81,2007,122,3,14
logement-82,1994,41,4,6
logement-83,1979,58,4,6
logement-84,1914,119,4,14
logement-85,1928,63,4,8
logement-86,1994,55,3,5
logement-87,1954,90,4,9
logement-88,1921,89,3,11
logement-89,1938,97,2,12
logement-90,1923,42,4,5
logement-91,2002,72,2,6
logement-92,1917,105,2,10
logement-93,1969,82,4,9
logement-94,1964,62,2,5
logement-95,1989,78,3,9
logement-96,1992,100,4,11
logement-97,1997,49,4,5
logement-98,1989,22,4,2
logement-99,1957,78,4,10
